x1,x2
1,54%
2,83%
3,59%
4,66%
5,77%
6,66%
7,54%
8,82%
9,N/A
10,N/A
11,44%
12,84%
13,63%
14,64%
15,76%
16,70%
17,80%
18,87%
19,77%
20,14%
21,94%
22,88%
23,83%
24,43%
25,99%
26,91%
27,74%
28,100%
29,74%
30,68%
31,92%
32,84%
33,89%
34,94%
35,50%
36,91%
37,89%
38,91%
39,1%
40,70%
41,90%
42,85%
43,99%
44,89%
45,91%
46,N/A
47,69%
48,94%
49,77%
50,87%
51,89%
52,85%
53,95%
54,77%
55,97%
56,N/A
57,84%
58,69%
59,78%
60,83%
61,93%
62,99%
63,87%
64,78%
65,N/A
66,N/A
67,61%
68,42%
69,N/A
70,64%
71,90%
72,88%
73,78%
74,69%
75,79%
76,79%
77,55%
78,68%
79,79%
80,81%
81,67%
82,60%
83,92%
84,56%
85,59%
86,N/A
87,79%
88,90%
89,78%
90,N/A
91,77%
92,56%
93,98%
94,N/A
95,70%
96,94%
97,81%
98,66%
99,83%
100,70%
101,85%
102,83%
103,75%
104,89%
105,79%
106,89%
107,94%
108,61%
109,N/A
110,84%
111,73%
112,95%
113,84%
114,86%
115,81%
116,89%
117,N/A
118,81%
119,76%
120,88%
121,95%
122,87%
123,81%
124,92%
125,58%
126,65%
127,63%
128,93%
129,83%
130,63%
131,98%
132,82%
133,N/A
134,63%
135,74%
136,84%
137,87%
138,90%
139,91%
140,63%
141,69%
142,N/A
143,74%
144,85%
145,93%
146,N/A
147,84%
148,69%
149,98%
150,56%
151,100%
152,63%
153,N/A
154,N/A
155,89%
156,34%
157,84%
158,69%
159,72%
160,95%
161,N/A
162,35%
163,74%
164,85%
165,53%
166,N/A
167,N/A
168,73%
169,97%
170,82%
171,74%
172,93%
173,89%
174,93%
175,93%
176,85%
177,62%
178,N/A
179,64%
180,69%
181,N/A
182,92%
183,77%
184,98%
185,95%
186,64%
187,69%
188,80%
189,76%
190,N/A
191,76%
192,89%
193,N/A
194,91%
195,74%
196,37%
197,58%
198,94%
199,90%
200,N/A
201,99%
202,95%
203,93%
204,84%
205,N/A
206,N/A
207,N/A
208,74%
209,96%
210,90%
211,89%
212,89%
213,82%
214,85%
215,72%
216,87%
217,86%
218,N/A
219,88%
220,84%
221,76%
222,89%
223,86%
224,N/A
225,72%
226,70%
227,86%
228,85%
229,71%
230,92%
231,72%
232,N/A
233,94%
234,95%
235,70%
236,48%
237,82%
238,28%
239,86%
240,73%
241,88%
242,98%
243,94%
244,68%
245,73%
246,100%
247,85%
248,90%
249,78%
250,98%
251,91%
252,55%
253,N/A
254,81%
255,84%
256,90%
257,N/A
258,88%
259,99%
260,85%
261,86%
262,N/A
263,61%
264,72%
265,95%
266,N/A
267,78%
268,N/A
269,N/A
270,73%
271,78%
272,N/A
273,60%
274,85%
275,81%
276,87%
277,58%
278,84%
279,42%
280,69%
281,91%
282,76%
283,79%
284,94%
285,58%
286,98%
287,85%
288,89%
289,93%
290,80%
291,80%
292,92%
293,87%
294,87%
295,N/A
296,47%
297,87%
298,94%
299,81%
