x1,Attendance
1,82%
2,70%
3,80%
4,95%
5,92%
6,89%
7,50%
8,91%
9,89%
10,91%
11,84%
12,1%
13,90%
14,85%
15,39%
16,79%
17,64%
18,68%
19,79%
20,67%
21,N/A
22,77%
23,70%
24,85%
25,61%
26,73%
27,95%
28,88%
29,58%
30,65%
31,93%
32,63%
33,82%
34,72%
35,87%
36,74%
37,63%
38,53%
39,84%
40,58%
41,35%
42,85%
43,85%
44,97%
45,85%
46,77%
47,92%
48,64%
49,13%
50,91%
51,37%
52,94%
53,90%
54,84%
55,74%
56,89%
57,60%
58,70%
59,72%
60,84%
61,94%
62,95%
63,48%
64,61%
65,73%
66,86%
67,88%
68,86%
69,72%
70,78%
71,85%
72,83%
73,85%
74,87%
75,47%
76,94%
77,100%
78,77%
79,N/A
80,64%
81,68%
82,94%
83,86%
84,94%
85,63%
86,21%
87,42%
88,87%
89,N/A
90,N/A
91,42%
92,87%
93,65%
94,97%
95,66%
96,74%
97,89%
98,59%
99,78%
100,72%
101,54%
102,83%
103,59%
104,66%
105,77%
106,66%
107,54%
108,N/A
109,77%
110,N/A
111,44%
112,53%
113,84%
114,63%
115,64%
116,76%
117,87%
118,77%
119,14%
120,78%
121,94%
122,88%
123,90%
124,83%
125,89%
126,43%
127,99%
128,91%
129,74%
130,100%
131,74%
132,68%
133,85%
134,84%
135,94%
136,29%
137,52%
138,63%
139,84%
140,93%
141,70%
142,69%
143,88%
144,99%
145,89%
146,91%
147,N/A
148,93%
149,69%
150,94%
151,77%
152,87%
153,83%
154,89%
155,85%
156,95%
157,77%
158,86%
159,97%
160,92%
161,N/A
162,84%
163,71%
164,69%
165,10%
166,69%
167,78%
168,83%
169,93%
170,99%
171,87%
172,78%
173,N/A
174,N/A
175,61%
176,42%
177,N/A
178,92%
179,90%
180,88%
181,78%
182,69%
183,79%
184,79%
185,88%
186,55%
187,66%
188,76%
189,81%
190,77%
191,60%
192,37%
193,92%
194,59%
195,79%
196,90%
197,78%
198,N/A
199,56%
200,98%
201,N/A
202,70%
203,94%
204,81%
205,66%
206,83%
207,85%
208,83%
209,75%
210,94%
211,89%
212,79%
213,89%
214,95%
215,94%
216,87%
217,N/A
218,69%
219,37%
220,84%
221,84%
222,86%
223,81%
224,89%
225,N/A
226,81%
227,76%
228,94%
229,95%
230,87%
231,90%
232,81%
233,81%
234,92%
235,63%
236,94%
237,93%
238,83%
239,84%
240,98%
241,N/A
242,63%
243,74%
244,84%
245,90%
246,91%
247,63%
248,69%
249,N/A
250,83%
251,85%
252,93%
253,N/A
254,84%
255,69%
256,98%
257,56%
258,89%
259,100%
260,84%
261,N/A
262,N/A
263,89%
264,34%
265,69%
266,69%
267,72%
268,46%
269,95%
270,N/A
271,74%
272,53%
273,81%
274,N/A
275,N/A
276,73%
277,82%
278,74%
279,74%
280,93%
281,89%
282,93%
283,93%
284,93%
285,62%
286,N/A
287,82%
288,54%
289,64%
290,69%
291,N/A
292,77%
293,98%
294,95%
295,77%
296,54%
297,69%
298,94%
299,80%
300,76%
301,N/A
302,76%
303,89%
304,N/A
305,74%
306,27%
307,58%
308,N/A
309,92%
310,99%
311,95%
312,93%
313,N/A
314,N/A
315,N/A
316,96%
317,90%
318,89%
319,82%
320,85%
321,72%
322,87%
323,86%
324,N/A
325,59%
326,88%
327,84%
328,87%
329,65%
330,76%
331,74%
332,89%
333,86%
334,N/A
335,85%
336,72%
337,82%
338,86%
339,60%
340,85%
341,71%
342,92%
343,N/A
344,71%
345,57%
346,70%
347,82%
348,28%
349,93%
350,86%
351,73%
352,88%
353,98%
354,94%
355,70%
356,71%
357,71%
358,68%
359,32%
360,84%
361,73%
362,85%
363,95%
364,100%
365,87%
366,85%
367,90%
368,78%
369,98%
370,87%
371,91%
372,55%
373,N/A
374,81%
375,84%
376,90%
377,N/A
378,76%
379,99%
380,85%
381,90%
382,N/A
383,61%
384,95%
385,N/A
386,78%
387,N/A
388,83%
389,76%
390,N/A
391,73%
392,90%
393,94%
394,N/A
395,60%
396,92%
397,81%
398,84%
399,87%
400,74%
401,58%
402,99%
403,84%
404,42%
405,69%
406,91%
407,76%
408,79%
409,94%
410,58%
411,98%
412,85%
413,89%
414,93%
415,80%
416,74%
417,87%
418,80%
419,82%
420,92%
421,87%
422,N/A
423,95%
424,87%
425,81%
426,51%
427,86%
428,73%
429,80%
430,83%
431,87%
432,63%
433,95%
434,N/A
435,81%
436,85%
437,85%
438,87%
439,87%
440,76%
441,70%
442,N/A
443,58%
444,85%
445,48%
446,N/A
447,98%
448,77%
449,N/A
450,47%
451,87%
452,88%
453,92%
454,N/A
455,67%
456,92%
457,86%
458,86%
459,84%
460,92%
461,76%
462,88%
463,77%
464,61%
465,85%
466,94%
467,73%
468,72%
469,72%
470,N/A
471,87%
472,N/A
473,98%
474,97%
475,N/A
476,84%
477,88%
478,87%
479,73%
480,77%
481,52%
482,81%
483,80%
484,62%
485,38%
486,97%
487,71%
488,17%
489,48%
490,50%
491,47%
492,N/A
493,N/A
494,32%
495,82%
496,87%
497,89%
498,63%
499,N/A
500,86%
501,85%
502,79%
503,74%
504,42%
505,85%
506,81%
507,77%
508,N/A
509,76%
510,88%
511,94%
512,94%
513,23%
514,93%
515,93%
516,66%
517,67%
518,81%
519,74%
520,71%
521,82%
522,99%
523,47%
524,99%
525,89%
526,N/A
527,90%
528,83%
529,85%
530,91%
531,N/A
532,85%
533,80%
534,85%
535,77%
536,80%
537,85%
538,N/A
539,N/A
540,88%
541,95%
542,82%
543,27%
544,67%
545,40%
546,70%
547,86%
548,89%
549,74%
550,79%
